Data,MJD,JPL_X,JPL_Y,JPL_Z,JPL_Vx,JPL_Vy,JPL_Vz,ASTDYN_X,ASTDYN_Y,ASTDYN_Z,ASTDYN_Vx,ASTDYN_Vy,ASTDYN_Vz,ASTDYN_PosErr,ASTDYN_VelErr,CHEB_X,CHEB_Y,CHEB_Z,CHEB_Vx,CHEB_Vy,CHEB_Vz,CHEB_PosErr,CHEB_VelErr
2025-Nov-25 00:00,61000.500000,0.889750,3.163810,1.124470,-0.008830,0.002210,0.001320,1.078253,2.869506,1.144484,-0.008928,0.002403,0.001483,52369644.946435,2.946094,1.078253,2.869506,1.144484,-0.338675,0.088697,0.055217,52369644.946435,3753.467770
2025-Nov-25 06:00,61000.750000,0.896960,3.162170,1.125150,-0.008830,0.002210,0.001320,1.076021,2.870106,1.144855,-0.008930,0.002397,0.001480,51334570.383539,2.892756,1.034792,2.880895,1.151573,-0.049443,0.012997,0.008081,47025010.289680,462.751717
2025-Nov-25 12:00,61001.000000,0.904180,3.160530,1.125820,-0.008820,0.002220,0.001320,1.073788,2.870705,1.145224,-0.008933,0.002391,0.001478,50319614.152795,2.813947,1.038237,2.880007,1.151017,0.054863,-0.014307,-0.008919,46663798.124431,724.496616
2025-Nov-25 18:00,61001.250000,0.911400,3.158880,1.126490,-0.008820,0.002220,0.001320,1.071554,2.871302,1.145594,-0.008935,0.002385,0.001476,49325480.943764,2.765553,1.054446,2.875778,1.148381,0.064737,-0.016897,-0.010531,47563709.201306,836.948777
2025-Nov-26 00:00,61001.500000,0.918620,3.157240,1.127160,-0.008810,0.002230,0.001320,1.069320,2.871897,1.145962,-0.008937,0.002379,0.001473,48356130.568433,2.706583,1.067600,2.872346,1.146242,0.037713,-0.009831,-0.006129,48179771.820289,529.605199
2025-Nov-26 06:00,61001.750000,0.925840,3.155590,1.127830,-0.008810,0.002230,0.001320,1.067086,2.872491,1.146330,-0.008939,0.002373,0.001471,47410381.911942,2.664041,1.072998,2.870942,1.145366,0.006448,-0.001654,-0.001037,48008435.537124,173.363887
2025-Nov-26 12:00,61002.000000,0.933070,3.153950,1.128500,-0.008800,0.002240,0.001330,1.064851,2.873084,1.146698,-0.008942,0.002367,0.001468,46491780.560921,2.561187,1.071741,2.871279,1.145574,-0.014202,0.003744,0.002326,47170609.121368,62.060764
2025-Nov-26 18:00,61002.250000,0.940290,3.152300,1.129170,-0.008800,0.002240,0.001330,1.062615,2.873675,1.147064,-0.008944,0.002361,0.001466,45600542.517622,2.525600,1.067059,2.872510,1.146339,-0.021123,0.005549,0.003451,46023593.343710,140.942311
2025-Nov-27 00:00,61002.500000,0.947520,3.150660,1.129840,-0.008790,0.002250,0.001330,1.060379,2.874264,1.147431,-0.008946,0.002355,0.001463,44739834.047279,2.513401,1.062033,2.873830,1.147160,-0.017885,0.004696,0.002921,44891351.743520,104.154658
2025-Nov-27 06:00,61002.750000,0.954750,3.149010,1.130500,-0.008790,0.002250,0.001330,1.058142,2.874852,1.147796,-0.008948,0.002349,0.001461,43909384.801236,2.485541,1.058444,2.874772,1.147747,-0.010702,0.002810,0.001748,43936044.587448,22.196980
2025-Nov-27 12:00,61003.000000,0.961980,3.147370,1.131170,-0.008780,0.002260,0.001330,1.055904,2.875438,1.148161,-0.008951,0.002342,0.001459,43113623.676204,2.499068,1.056518,2.875278,1.148061,-0.005402,0.001417,0.000882,43165389.109665,38.309914
2025-Nov-27 18:00,61003.250000,0.969210,3.145720,1.131840,-0.008780,0.002260,0.001330,1.053667,2.876023,1.148525,-0.008953,0.002336,0.001456,42351716.726210,2.479504,1.055291,2.875599,1.148261,-0.005404,0.001411,0.000879,42482953.490316,38.306231
2025-Nov-28 00:00,61003.500000,0.976440,3.144080,1.132510,-0.008770,0.002270,0.001330,1.051428,2.876606,1.148889,-0.008955,0.002330,0.001454,41628438.349556,2.518905,1.053364,2.876101,1.148574,-0.010708,0.002793,0.001741,41777164.582352,22.379434
2025-Nov-28 06:00,61003.750000,0.983680,3.142440,1.133180,-0.008770,0.002280,0.001340,1.049189,2.877188,1.149252,-0.008957,0.002324,0.001451,40943994.773375,2.426834,1.049773,2.877038,1.149158,-0.017895,0.004668,0.002910,40985934.488080,104.388286
2025-Nov-28 12:00,61004.000000,0.990910,3.140790,1.133850,-0.008760,0.002280,0.001340,1.046949,2.877769,1.149615,-0.008959,0.002318,0.001449,40299687.820241,2.518419,1.044744,2.878350,1.149976,-0.021137,0.005511,0.003436,40150506.879159,141.660792
2025-Nov-28 18:00,61004.250000,0.998150,3.139150,1.134520,-0.008760,0.002290,0.001340,1.044709,2.878347,1.149977,-0.008962,0.002312,0.001446,39699768.270152,2.503374,1.040058,2.879570,1.150737,-0.014221,0.003694,0.002306,39410173.715755,62.498972
2025-Nov-29 00:00,61004.500000,1.005390,3.137500,1.135190,-0.008750,0.002290,0.001340,1.042469,2.878925,1.150338,-0.008964,0.002306,0.001444,39143660.296326,2.607297,1.038796,2.879893,1.150939,0.006426,-0.001715,-0.001061,38931514.621156,173.656809
2025-Nov-29 06:00,61004.750000,1.012630,3.135860,1.135860,-0.008750,0.002300,0.001340,1.040227,2.879500,1.150699,-0.008966,0.002300,0.001442,38636268.064259,2.610990,1.044188,2.878473,1.150057,0.037687,-0.009902,-0.006158,38851032.169411,531.329755
2025-Nov-29 12:00,61005.000000,1.019870,3.134220,1.136520,-0.008740,0.002310,0.001340,1.037985,2.880074,1.151059,-0.008968,0.002294,0.001439,38178093.989653,2.729448,1.057335,2.875021,1.147910,0.064707,-0.016980,-0.010564,39215553.739201,841.071966
2025-Nov-29 18:00,61005.250000,1.027110,3.132570,1.137190,-0.008740,0.002310,0.001340,1.035743,2.880647,1.151418,-0.008971,0.002288,0.001437,37769266.101313,2.746160,1.073535,2.870770,1.145265,0.054828,-0.014400,-0.008956,39794144.616591,727.981069
2025-Nov-30 00:00,61005.500000,1.034350,3.130930,1.137860,-0.008730,0.002320,0.001340,1.033500,2.881218,1.151777,-0.008973,0.002282,0.001434,37414521.837056,2.882025,1.076971,2.869857,1.144700,-0.049482,0.012892,0.008039,39586244.617203,466.833415
2025-Nov-30 06:00,61005.750000,1.041600,3.129290,1.138530,-0.008730,0.002320,0.001350,1.031257,2.881788,1.152135,-0.008975,0.002276,0.001432,37113945.615317,2.868637,1.033500,2.881218,1.151777,-0.338717,0.088582,0.055171,37183616.855714,3780.611078
